epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,20.6433,0.51276,1,1,0.04031,0.00035007,0.00035007,0.00035007
2,39.5518,0.06872,1,1,0.00058,0.000702617,0.000702617,0.000702617
3,57.4316,0.0159,1,1,0.00039,0.00104064,0.00104064,0.00104064
4,80.6558,0.06428,1,1,0.00023,0.00136414,0.00136414,0.00136414
5,102.171,0.02851,1,1,0.00088,0.00153497,0.00153497,0.00153497
6,122.775,0.13223,1,1,0.00015,0.00150197,0.00150197,0.00150197
7,141.581,0.14057,1,1,0.00371,0.00146896,0.00146896,0.00146896
8,158.637,0.09312,1,1,0.04354,0.00143595,0.00143595,0.00143595
9,174.92,0.21159,1,1,0.00577,0.00140295,0.00140295,0.00140295
10,191.998,0.02816,1,1,0.02139,0.00136994,0.00136994,0.00136994
11,209.154,0.01682,1,1,4e-05,0.00133693,0.00133693,0.00133693
12,228.18,0.19415,1,1,0.00042,0.00130393,0.00130393,0.00130393
13,244.639,0.0661,1,1,0.00226,0.00127092,0.00127092,0.00127092
14,262.707,0.07814,1,1,0.00288,0.00123791,0.00123791,0.00123791
15,282.123,0.17021,1,1,0,0.00120491,0.00120491,0.00120491
16,300.542,0.02413,1,1,6e-05,0.0011719,0.0011719,0.0011719
17,326.403,0.01532,1,1,0.00034,0.00113889,0.00113889,0.00113889
18,359.365,0.29291,1,1,0.0021,0.00110589,0.00110589,0.00110589
19,411.464,0.08802,1,1,0.00049,0.00107288,0.00107288,0.00107288
20,449.019,0.02792,1,1,0.00122,0.00103987,0.00103987,0.00103987
21,480.866,0.01755,1,1,0.00058,0.00100687,0.00100687,0.00100687
22,514.506,0.03659,1,1,0.00108,0.000973861,0.000973861,0.000973861
23,547.956,0.02235,1,1,0.00619,0.000940855,0.000940855,0.000940855
24,583.376,0.01149,1,1,0.00043,0.000907848,0.000907848,0.000907848
25,618.304,0.02018,1,1,5e-05,0.000874842,0.000874842,0.000874842
26,653.372,0.24508,1,1,0.00027,0.000841835,0.000841835,0.000841835
27,689.88,0.19901,1,1,0.00026,0.000808828,0.000808828,0.000808828
28,724.816,0.03366,1,1,0.00023,0.000775822,0.000775822,0.000775822
29,759.701,0.00433,1,1,0.00023,0.000742815,0.000742815,0.000742815
30,793.556,0.00884,1,1,0.00032,0.000709809,0.000709809,0.000709809
31,828.892,0.07657,1,1,7e-05,0.000676802,0.000676802,0.000676802
32,872.924,0.06961,1,1,0.0001,0.000643795,0.000643795,0.000643795
33,913.401,0.02451,1,1,4e-05,0.000610789,0.000610789,0.000610789
34,954.152,0.00656,1,1,2e-05,0.000577782,0.000577782,0.000577782
35,982.978,0.01008,1,1,1e-05,0.000544776,0.000544776,0.000544776
36,1015.23,0.09639,1,1,1e-05,0.000511769,0.000511769,0.000511769
37,1052.89,0.05082,1,1,0.00021,0.000478762,0.000478762,0.000478762
38,1090.02,0.00865,1,1,0.00087,0.000445756,0.000445756,0.000445756
39,1126.56,0.14778,1,1,0.0007,0.000412749,0.000412749,0.000412749
40,1159.38,0.00997,1,1,0.00053,0.000379743,0.000379743,0.000379743
41,1193.81,0.01636,1,1,0.00015,0.000346736,0.000346736,0.000346736
42,1227.25,0.0089,1,1,0.0001,0.000313729,0.000313729,0.000313729
43,1259.99,0.07323,1,1,0.00016,0.000280723,0.000280723,0.000280723
44,1293.78,0.00595,1,1,0.00012,0.000247716,0.000247716,0.000247716
45,1334.02,0.10145,1,1,0.00016,0.00021471,0.00021471,0.00021471
46,1367.38,0.05988,1,1,0.00025,0.000181703,0.000181703,0.000181703
47,1398.44,0.00601,1,1,0.00027,0.000148696,0.000148696,0.000148696
48,1429.24,0.00471,1,1,0.00026,0.00011569,0.00011569,0.00011569
49,1464.79,0.07165,1,1,0.00023,8.26832e-05,8.26832e-05,8.26832e-05
50,1500.56,0.0402,1,1,0.00071,4.96766e-05,4.96766e-05,4.96766e-05
