epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.9865,0.38665,1,1,0.00175,0.000542744,0.000542744,0.000542744
2,37.6699,0.05976,1,1,0.00026,0.00107666,0.00107666,0.00107666
3,54.7733,0.04436,1,1,0.00048,0.00158858,0.00158858,0.00158858
4,72.5628,0.03749,1,1,3e-05,0.00156798,0.00156798,0.00156798
5,101.236,0.04303,1,1,0.00534,0.00153497,0.00153497,0.00153497
6,130.691,0.03135,1,1,8e-05,0.00150197,0.00150197,0.00150197
7,158.944,0.09863,1,1,0.00011,0.00146896,0.00146896,0.00146896
8,224.196,0.05357,1,1,0,0.00143595,0.00143595,0.00143595
9,278.578,0.07224,1,1,0.00193,0.00140295,0.00140295,0.00140295
10,338.88,0.03917,1,1,0.00092,0.00136994,0.00136994,0.00136994
11,401.584,0.04955,1,1,0.00201,0.00133693,0.00133693,0.00133693
12,454.55,0.11563,1,1,0.00011,0.00130393,0.00130393,0.00130393
13,509.41,0.04153,1,1,1e-05,0.00127092,0.00127092,0.00127092
14,567.936,0.02022,1,1,8e-05,0.00123791,0.00123791,0.00123791
15,639.596,0.13117,1,1,3e-05,0.00120491,0.00120491,0.00120491
16,697.018,0.00673,1,1,1e-05,0.0011719,0.0011719,0.0011719
17,752.336,0.02726,1,1,2e-05,0.00113889,0.00113889,0.00113889
18,807.884,0.09753,1,1,0,0.00110589,0.00110589,0.00110589
19,855.255,0.03869,1,1,4e-05,0.00107288,0.00107288,0.00107288
20,894.234,0.0193,1,1,0,0.00103987,0.00103987,0.00103987
21,941.551,0.00655,1,1,1e-05,0.00100687,0.00100687,0.00100687
22,991.091,0.00654,1,1,0,0.000973861,0.000973861,0.000973861
23,1039.77,0.00998,1,1,3e-05,0.000940855,0.000940855,0.000940855
24,1087.79,0.00321,1,1,0,0.000907848,0.000907848,0.000907848
25,1157.06,0.03626,1,1,0,0.000874842,0.000874842,0.000874842
26,1189.51,0.13844,1,1,7e-05,0.000841835,0.000841835,0.000841835
27,1215.52,0.10442,1,1,0.00017,0.000808828,0.000808828,0.000808828
28,1237.37,0.03337,1,1,0.0001,0.000775822,0.000775822,0.000775822
29,1258.06,0.00388,1,1,4e-05,0.000742815,0.000742815,0.000742815
30,1278.73,0.00416,1,1,4e-05,0.000709809,0.000709809,0.000709809
31,1298.55,0.05598,1,1,1e-05,0.000676802,0.000676802,0.000676802
32,1318.18,0.07465,1,1,2e-05,0.000643795,0.000643795,0.000643795
33,1340.59,0.00903,1,1,7e-05,0.000610789,0.000610789,0.000610789
34,1360.56,0.00715,1,1,0.00024,0.000577782,0.000577782,0.000577782
35,1382.2,0.00264,1,1,4e-05,0.000544776,0.000544776,0.000544776
36,1402.39,0.01785,1,1,1e-05,0.000511769,0.000511769,0.000511769
37,1426.96,0.04457,1,1,5e-05,0.000478762,0.000478762,0.000478762
38,1448.58,0.00565,1,1,0.0006,0.000445756,0.000445756,0.000445756
39,1469.43,0.07251,1,1,0.0001,0.000412749,0.000412749,0.000412749
40,1494.53,0.00284,1,1,1e-05,0.000379743,0.000379743,0.000379743
41,1518.06,0.01022,1,1,1e-05,0.000346736,0.000346736,0.000346736
42,1539.77,0.00436,1,1,1e-05,0.000313729,0.000313729,0.000313729
43,1560.9,0.0283,1,1,0,0.000280723,0.000280723,0.000280723
44,1584.44,0.00208,1,1,1e-05,0.000247716,0.000247716,0.000247716
45,1606.54,0.03986,1,1,0,0.00021471,0.00021471,0.00021471
46,1627.82,0.04404,1,1,8e-05,0.000181703,0.000181703,0.000181703
47,1648.6,0.00171,1,1,1e-05,0.000148696,0.000148696,0.000148696
48,1669.53,0.00232,1,1,1e-05,0.00011569,0.00011569,0.00011569
49,1689.38,0.0143,1,1,1e-05,8.26832e-05,8.26832e-05,8.26832e-05
50,1712.27,0.02509,1,1,0,4.96766e-05,4.96766e-05,4.96766e-05
